UM_ID_UM,REGION_OFC,SUBREG,PROVINCIA,MEDIA_ALTURA_UM_EST,SUMA_DAP_X_UM,AREA_BASAL_UM_HA,VOL_M3_HA,CANTIDAD_IND_VIVOS_UM,CANTIDAD_IND_VIVOS_HA,PORCENTAJE_COB_3,PORCENTAJE_COB_7,PORCENTAJE_COB_TOTAL,PORCENTAJE_COB_ARBUSTIVA,PORCENTAJE_COB_INFERIOR,MEDIA_ALT_TOCONES,MEDIA_DAB_TOCONES,CANTIDAD_TOCONES_X_UM,CANTIDAD_TOCONES_X_HA,REGENERACION_UM,REGENERACION_HA,LONGITUD_GRILLA,LATITUD_GRILLA,LONGITUD_INSTALACION,LATITUD_INSTALACION,ALTITUD,PENDIENTE_CATEGORIA,EXPOSICION,OTBN_CATEGORIA,FECHA_UM_ANIO,FECHA_UM_MES,TIPO_PAISAJE,SALINIDAD_PRESENCIA,INCENDIOS_RASTROS,PASTOREO_PRESENCIA,GANADO_BOVINO,GANADO_OVINO,GANADO_CAPRINO,GANADO_EQUINO,GANADO_OTRO,GANADO_OTRO_TIPO,EROSION_PRESENCIA,EROSION_FISICA_PRESENCIA,EROSION_EOLICA_PRESENCIA,EROSION_HIDRICA_PRESENCIA,PFNM_PRESENCIA_RESUMEN,PFNM_REGISTRO_1,PFNM_REGISTRO_2,PFNM_REGISTRO_3,PFNM_REGISTRO_4,PFNM_REGISTRO_5,FORMAS_HELECHOS,FORMAS_CACTACEAS,FORMAS_EPIFITAS,FORMAS_BRIOFITAS,FORMAS_LIANAS,FORMAS_ORQUIDEAS,FORMAS_GRAMINEAS,FORMAS_OTRAS,Ley_N1_06,Ley_N2_06,PRESENTA_IND_INVENTARIABLE
30115101,ESP,Distrito del Ñandubay,30,3.72692307692308,3.496990432,5.28769847478026,46.41102239,26,465.1,54.9295774647887,0,54.9295774647887,0,100,25,9.5,1,10,4,800,-58.962598,-30.830883,-58.9626111111111,-30.8308888888889,56,sin_pendiente,NA,sin_categoria,2019,8,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30115102,ESP,Distrito del Ñandubay,30,5.65555555555556,3.677655007,6.93213035977815,32.02593185,18,209.3,16.9014084507042,0,16.9014084507042,2.8169014084507,100,NA,NA,0,0,6,1200,-58.958818,-30.920856,-58.9588333333333,-30.9208611111111,70,sin_pendiente,NA,II,2019,5,llano,presencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Cactaceae,Cactaceae,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,OTF,Bosque de Ñandubay tipo Parque,SI
30115103,ESP,Distrito del Ñandubay,30,4.66666666666667,4.040717552,6.62548900175615,33.45728879,24,298.6,49.2957746478873,0,49.2957746478873,49.2957746478873,100,NA,NA,0,0,10,2000,-58.955021,-31.010827,-58.955,-31.0108333333333,73,sin_pendiente,NA,II,2019,5,llano,ausencia,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Cactaceae,Cactaceae,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TF,Bosque de Ñandubay-Espinillo,SI
30115105,ESP,Distrito del Ñandubay,30,4.57058823529412,2.792595347,4.86789577427145,34.01217293,17,287.2,36.6197183098592,0,36.6197183098592,32.3943661971831,100,NA,NA,0,0,0,0,-58.947375,-31.190765,-58.9473888888889,-31.1907777777778,62,sin_pendiente,NA,II,2019,5,llano,ausencia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30115106,ESP,Distrito del Ñandubay,30,5.86764705882353,6.128876325,11.2291143878396,64.22961688,34,486.5,100,0,100,0,100,6,17.1666666666667,3,30,2,400,-58.943526,-31.280731,-58.9435,-31.28075,47,sin_pendiente,NA,II,2019,8,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30115109,ESP,Distrito del Ñandubay,30,5,1.062028357,1.78537912249625,13.52409106,6,89.3,1.40845070422535,0,1.40845070422535,0,100,20,24.6833333333333,6,60,3,600,-58.931876,-31.55062,-58.9318888888889,-31.5506111111111,53,sin_pendiente,NA,II,2019,4,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de Ñandubay-Espinillo,SI
30115113,ESP,Distrito del Ñandubay,30,4.46666666666667,0.366,0.368618774008958,2.666431238,3,30,36.6197183098592,0,36.6197183098592,23.943661971831,100,NA,NA,0,0,9,1800,-58.916097,-31.910448,-58.9160833333333,-31.9104444444444,47,sin_pendiente,NA,sin_categoria,2019,2,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,OTF,Bosque de Ñandubay tipo Parque,SI
30116096,ESP,Distrito del Ñandubay,30,5.18,4.792831412,8.19488590666769,38.16775086,24,269.3,45.0704225352113,0,45.0704225352113,0,100,NA,NA,0,0,7,1400,-58.87747,-30.377754,-58.8774722222222,-30.37775,60,sin_pendiente,NA,II,2019,5,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Araujia odorata,Araujia odorata,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TF,Bosque de ñandubay-Espinillo con otras especies,SI
30116098,ESP,Distrito del Ñandubay,30,4.42619047619048,7.690293864,12.6638640527886,56.46401577,42,449.3,35.2112676056338,0,35.2112676056338,0,100,34.3333333333333,7.33333333333333,3,30,1,200,-58.869871,-30.557692,-58.8698611111111,-30.5576944444444,57,sin_pendiente,NA,II,2019,8,llano,ausencia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TF,Bosque de Ñandubay-Espinillo,SI
30116110,ESP,Distrito del Ñandubay,30,7.5725,6.889627357,15.320641331519,88.60534219,40,751.6,50.7042253521127,43.6619718309859,78.8732394366197,0,100,NA,NA,0,0,4,800,-58.822815,-31.637176,-58.8228055555556,-31.6371944444444,52,sin_pendiente,NA,sin_categoria,2019,4,llano,ausencia,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,sin registro,sin registro,sin registro,sin registro,sin registro,sin registro,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTF,Bosque en galería,SI
